City,Nickname,Team,Year,Price,Price per Ounce,Size
Los Angeles,Dodgers,Los Angeles Dodgers,2016,6.25,0.3125,20
Miami,Marlins,Miami Marlins,2016,6,0.5,12
Milwaukee,Brewers,Milwaukee Brewers,2016,6,0.375,16
Minnesota,Twins,Minnesota Twins,2016,7.5,0.375,20
New York,Mets,New York Mets,2016,5.75,0.479166667,12
New York,Yankees,New York Yankees,2016,6,0.5,12
Oakland,Athletics,Oakland Athletics,2016,5,0.416666667,12
Philadelphia,Phillies,Philadelphia Phillies,2016,7.75,0.369047619,21
Pittsburgh,Pirates,Pittsburgh Pirates,2016,5.5,0.34375,16
San Diego,Padres,San Diego Padres,2016,5,0.357142857,14
San Francisco,Giants,San Francisco Giants,2016,7.5,0.535714286,14
Seattle,Mariners,Seattle Mariners,2016,6,0.375,16
St. Louis,Cardinals,St. Louis Cardinals,2016,5,0.416666667,12
Tampa,Rays,Tampa Bay Rays,2016,5,0.416666667,12
Arlington,Rangers,Texas Rangers,2016,6,0.375,16
Toronto,Blue Jays,Toronto Blue Jays,2016,6.79,0.485,14
Washington,Nationals,Washington Nationals,2016,6.5,0.40625,16
,MLB Average,MLB Average,2016,5.901333333,0.401451247,14.7
Arizona,Diamondbacks,Arizona Diamondbacks,2018,4,0.285714286,14
Atlanta,Braves,Atlanta Braves,2018,5,0.416666667,12
Baltimore,Orioles,Baltimore Orioles,2018,4,0.333333333,12
Boston,Red Sox,Boston Red Sox,2018,8,0.666666667,12
Chicago,Cubs,Chicago Cubs,2018,9,0.45,20
Chicago,White Sox,Chicago White Sox,2018,7,0.4375,16
Cincinnati,Reds,Cincinnati Reds,2018,6.25,0.446428571,14
Cleveland,Indians,Cleveland Indians,2018,5,0.416666667,12
Colorado,Rockies,Colorado Rockies,2018,3,0.25,12
Detroit,Tigers,Detroit Tigers,2018,5,0.416666667,12
Houston,Astros,Houston Astros,2018,6,0.428571429,14
Kansas City,Royals,Kansas City Royals,2018,4,0.333333333,12
Anaheim,Angels,Los Angeles Angels,2018,4.5,0.375,12
Los Angeles,Dodgers,Los Angeles Dodgers,2018,6.25,0.390625,16
Miami,Marlins,Miami Marlins,2018,6,0.5,12
Milwaukee,Brewers,Milwaukee Brewers,2018,7,0.4375,16
Minnesota,Twins,Minnesota Twins,2018,8.5,0.425,20
New York,Mets,New York Mets,2018,10.5,0.525,20
New York,Yankees,New York Yankees,2018,6,0.5,12
Oakland,Athletics,Oakland Athletics,2018,5.5,0.458333333,12
Philadelphia,Phillies,Philadelphia Phillies,2018,6,0.5,12
Pittsburgh,Pirates,Pittsburgh Pirates,2018,6,0.375,16
San Diego,Padres,San Diego Padres,2018,5,0.416666667,12
San Francisco,Giants,San Francisco Giants,2018,8.25,0.589285714,14
Seattle,Mariners,Seattle Mariners,2018,5,0.416666667,12
St. Louis,Cardinals,St. Louis Cardinals,2018,5,0.416666667,12
Tampa,Rays,Tampa Bay Rays,2018,5,0.416666667,12
Arlington,Rangers,Texas Rangers,2018,6,0.375,16
Toronto,Blue Jays,Toronto Blue Jays,2018,5.67,0.405,14
Washington,Nationals,Washington Nationals,2018,7,0.5,14
,MLB Average,MLB Average,2018,5.98,0.427142857,14
